Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
United States;Tourist Arrivals;1996-01-31T00:00:00;2565289;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1996-02-29T00:00:00;2443603;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1996-03-31T00:00:00;3400808;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1996-04-30T00:00:00;3107737;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1996-05-31T00:00:00;3243037;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1996-06-30T00:00:00;3147353;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1996-07-31T00:00:00;4278520;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1996-08-31T00:00:00;4255329;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1996-09-30T00:00:00;3503282;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1996-10-31T00:00:00;3530139;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1996-11-30T00:00:00;2786362;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1996-12-31T00:00:00;3034125;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1997-01-31T00:00:00;2689328;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1997-02-28T00:00:00;2618174;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1997-03-31T00:00:00;3670249;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1997-04-30T00:00:00;3325419;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1997-05-31T00:00:00;3568482;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1997-06-30T00:00:00;3517073;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1997-07-31T00:00:00;4832796;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1997-08-31T00:00:00;4851935;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1997-09-30T00:00:00;3740513;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1997-10-31T00:00:00;3470398;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1997-11-30T00:00:00;2901506;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1997-12-31T00:00:00;3026328;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1998-01-31T00:00:00;2824423;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1998-02-28T00:00:00;2632421;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1998-03-31T00:00:00;3333021;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1998-04-30T00:00:00;3516849;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1998-05-31T00:00:00;3531727;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1998-06-30T00:00:00;3276059;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1998-07-31T00:00:00;4454271;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1998-08-31T00:00:00;4314430;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1998-09-30T00:00:00;3432739;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1998-10-31T00:00:00;3329209;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1998-11-30T00:00:00;2773192;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1998-12-31T00:00:00;3072958;Monthly;UNITEDSTATOUARR;2016-06-23T11:06:00
United States;Tourist Arrivals;1999-01-31T00:00:00;2662901;Monthly;UNITEDSTATOUARR;2018-10-04T13:56:00
United States;Tourist Arrivals;1999-02-28T00:00:00;2616852;Monthly;UNITEDSTATOUARR;2018-10-04T13:56:00
United States;Tourist Arrivals;1999-03-31T00:00:00;3503825;Monthly;UNITEDSTATOUARR;2018-10-04T13:56:00
United States;Tourist Arrivals;1999-04-30T00:00:00;3358953;Monthly;UNITEDSTATOUARR;2018-10-04T13:56:00
United States;Tourist Arrivals;1999-05-31T00:00:00;3610805;Monthly;UNITEDSTATOUARR;2018-10-04T13:56:00
United States;Tourist Arrivals;1999-06-30T00:00:00;3449860;Monthly;UNITEDSTATOUARR;2018-10-04T13:56:00
United States;Tourist Arrivals;1999-07-31T00:00:00;4765588;Monthly;UNITEDSTATOUARR;2018-10-04T13:56:00
United States;Tourist Arrivals;1999-08-31T00:00:00;4608134;Monthly;UNITEDSTATOUARR;2018-10-04T13:56:00
United States;Tourist Arrivals;1999-09-30T00:00:00;3797278;Monthly;UNITEDSTATOUARR;2018-10-04T13:56:00
United States;Tourist Arrivals;1999-10-31T00:00:00;3669453;Monthly;UNITEDSTATOUARR;2018-10-04T13:56:00
United States;Tourist Arrivals;1999-11-30T00:00:00;3120729;Monthly;UNITEDSTATOUARR;2018-10-04T13:56:00
United States;Tourist Arrivals;1999-12-31T00:00:00;2990625;Monthly;UNITEDSTATOUARR;2018-10-04T13:56:00
