Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
United States;Tourism Revenues;2002-11-30T00:00:00;8212;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-12-31T00:00:00;8297;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-01-31T00:00:00;7863;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-02-28T00:00:00;7805;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-03-31T00:00:00;7398;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-04-30T00:00:00;6967;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-05-31T00:00:00;7496;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-06-30T00:00:00;7681;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-07-31T00:00:00;8023;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-08-31T00:00:00;8199;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-09-30T00:00:00;8337;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-10-31T00:00:00;8438;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-11-30T00:00:00;8578;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-12-31T00:00:00;8638;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2004-01-31T00:00:00;8674;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2004-02-29T00:00:00;9042;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2004-03-31T00:00:00;9199;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2004-04-30T00:00:00;9206;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2004-05-31T00:00:00;9084;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2004-06-30T00:00:00;9170;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2004-07-31T00:00:00;9331;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2004-08-31T00:00:00;9166;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2004-09-30T00:00:00;9182;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2004-10-31T00:00:00;9207;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2004-11-30T00:00:00;9441;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2004-12-31T00:00:00;9615;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2005-01-31T00:00:00;9881;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2005-02-28T00:00:00;10101;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2005-03-31T00:00:00;10272;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2005-04-30T00:00:00;10364;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2005-05-31T00:00:00;10228;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
